codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;taux_chomage_2022;niveau_vie_median_euros;part_sans_diplome_2022;part_logements_vacants_2022;part_familles_monoparentales_2022;evol_population_2016_2022_pct;part_60_ans_plus_2022
55502;Stenay;55;2428;Commune fragile;100;16,67;18,59;19550;31,27;20,00;23,18;-9,17;37,48
80373;Gamaches;80;2421;Commune fragile;100;16,67;17,32;18520;38,84;11,10;16,83;-6,74;39,57
09157;Laroque-d'Olmes;09;2414;Commune fragile;100;16,67;16,00;19360;29,66;14,44;21,79;-1,63;45,03
70026;Arc-lès-Gray;70;2410;Commune fragile;100;16,67;12,58;20420;31,95;11,44;18,25;-5,01;37,47
23030;Bourganeuf;23;2408;Commune fragile;100;16,67;16,28;17860;29,54;19,86;17,58;-9,34;41,82
30307;Les Salles-du-Gardon;30;2403;Commune fragile;100;0,00;18,98;16820;29,08;12,40;22,66;-7,79;39,62
21607;Seurre;21;2336;Commune fragile;100;16,67;12,07;20470;28,61;14,07;18,65;-1,89;38,70
88451;Senones;88;2334;Commune fragile;100;16,67;17,78;18380;29,59;17,45;23,69;-5,35;40,53
36045;Châtillon-sur-Indre;36;2296;Commune fragile;100;16,67;14,47;20290;41,58;15,95;19,58;-14,04;53,96
65304;Maubourguet;65;2232;Commune fragile;100;16,67;15,26;20470;25,96;14,45;22,19;-8,22;41,98
27502;Rugles;27;2199;Commune fragile;100;16,67;18,25;19920;30,57;16,10;21,89;-3,47;41,52
72334;Sillé-le-Guillaume;72;2192;Commune fragile;100;16,67;18,65;20110;36,26;20,61;22,12;-5,19;43,20
01305;Pont-de-Vaux;01;2184;Commune fragile;100;16,67;11,16;21070;34,87;13,13;16,92;-4,63;38,60
81227;Roquecourbe;81;2181;Commune fragile;100;0,00;11,11;20930;24,55;12,66;18,41;-0,86;36,50
