codgeo;part_prestations_sociales_pct;part_minima_sociaux_pct;s_soc_ben_di_fam_ben;nombre_personnes;part_revenus_activite_pct;part_impots_directs_pct;part_indemnites_chomage_pct;s_ei_di_n_sal;nombre_unites_consommation;taux_pauvrete_60_pct;rapport_interdecile_d9_d1;part_revenus_patrimoine_autres_pct;niveau_vie_median_euros;niveau_vie_1er_decile_euros;s_soc_ben_di_hou_ben;nombre_menages;part_menages_imposes_pct;niveau_vie_9e_decile_euros;part_salaires_pct;part_pensions_retraites_rentes_pct
14244;;;;305;;;;;201,2;;;;26400;;;117;;;;
14207;;;;616;;;;;401,9;;;;23210;;;240;;;;
14303;;;;914;;;;;615,2;;;;22950;;;374;;;;
14309;;;;793;;;;;532,7;;;;22050;;;333;;;;
14495;;;;590;;;;;395,0;;;;32160;;;236;;;;
14530;2,8;1,0;1,4;2120;66,8;-16,6;2,5;5,4;1432,5;;2,6;15,0;25260;16280;0,4;884;63;41750;58,9;32,0
14579;;;;1279;;;;;841,4;;;;23810;;;502;;;;
14554;;;;1729;;;;;1099,0;;;;24900;;;620;;;;
14602;;;;236;;;;;164,9;;;;21320;;;107;;;;
14488;3,7;1,8;1,1;9210;55,0;-15,9;2,5;4,1;6855,6;10;3,0;9,5;24050;13730;0,8;4873;58;40950;48,4;47,7
14589;;;;905;;;;;609,8;;;;22620;;;379;;;;
14491;;;;205;;;;;134,4;;;;26860;;;79;;;;
14592;;;;1374;;;;;892,5;;;;25220;;;514;;;;
14163;;;;385;;;;;253,8;;;;23020;;;148;;;;
14161;;;;314;;;;;223,5;;;;26440;;;148;;;;
14050;;;;188;;;;;124,6;;;;20330;;;77;;;;
14172;;;;436;;;;;313,8;;;;25230;;;212;;;;
14181;5,0;2,1;2,0;4930;67,1;-14,3;2,3;3,8;3422,4;10;2,6;6,7;23050;13800;0,9;2196;55;35710;61,0;35,5
14057;;;;1426;;;;;963,6;;;;22520;;;592;;;;
14242;;;;1490;;;;;1036,5;;;;29720;;;669;;;;
14200;3,7;1,4;1,8;2149;73,2;-14,8;2,3;5,2;1449,2;;2,3;6,5;24040;15320;0,5;886;59;34860;65,7;31,4
14332;;;;638;;;;;423,8;;;;22610;;;249;;;;
14322;;;;232;;;;;157,3;;;;25900;;;97;;;;
14250;;;;296;;;;;206,2;;;;23790;;;127;;;;
14221;4,3;1,8;1,8;3122;68,1;-13,3;2,5;2,6;2135,2;8;2,4;4,5;23070;14410;0,7;1326;56;34580;63,0;36,4
14333;6,4;3,1;1,8;6977;63,7;-15,4;3,4;3,9;5123,6;18;3,3;9,8;20840;11720;1,5;3633;45;38320;56,4;35,5
14499;;;;545;;;;;359,3;;;;26400;;;211;;;;
14637;;;;231;;;;;149,9;;;;24840;;;87;;;;
14498;;;;224;;;;;150,6;;;;23910;;;91;;;;
14565;;;;276;;;;;193,4;;;;24910;;;127;;;;
14524;;;;284;;;;;199,0;;;;25410;;;129;;;;
